obs,Site,Latitude,Longitude,tm,ts,tn,cm,cs,cn,MAP,N_addtion,pH,MAT,SOC,TN,TP,CNR,NPR,MBC,MBN,MCNR
23,10,49.49,14.1,0.430939227,0.05,3,0.310276243,0.06,3,>800,100-200,5.8,7,34.4,3.3,1.5234,10.42424242,2.166207168,1064.1,NA,NA
24,11,42.7,127.63,0.520588235,0.032,3,0.359049774,0.02,3,400-800,<100,5.2,4,114.62,8.11,1.41667,14.13316893,5.72,4191.2,317.96,13.18
25,11,42.7,127.63,0.259954751,0.016,3,0.359049774,0.02,3,400-800,100-200,5.1,4,135.26,9.71,1.26413,13.9299691,7.73,2928.25,243.79,12.07
26,11,42.7,127.63,0.208371041,0.012,3,0.169004525,0.01,3,400-800,<100,5.1,4,39.44,3.07,0.80733,12.84690554,3.83,1236.27,105.96,12.46
27,11,42.7,127.63,0.38959276,0.03,3,0.169004525,0.01,3,400-800,100-200,5.2,4,49.73,3.93,0.68147,12.65394402,5.73,1422.27,153.42,9.36
28,12,-33.94,150.67,0.154353699,0.03,4,0.132706428,0.016,4,400-800,<100,5.48,23.9,NA,NA,NA,NA,NA,484.7,NA,NA
29,12,-33.94,150.67,0.141798282,0.024,4,0.130108756,0.023,4,400-800,<100,5.46,23.9,NA,NA,NA,NA,NA,417.2,NA,NA
30,12,-33.94,150.67,0.131407592,0.029,4,0.16799148,0.066,4,400-800,<100,5.48,23.9,NA,NA,NA,NA,NA,484.7,NA,NA
31,12,-33.94,150.67,0.098936686,0.039,4,0.159549044,0.014,4,400-800,<100,5.46,23.9,NA,NA,NA,NA,NA,417.2,NA,NA
32,13,35,114.4,0.063991935,0.04,3,0.103427419,0.04,3,400-800,100-200,8.17,16.5,6.67,0.7,NA,9.52,NA,16.21,NA,NA
33,14,35.35,109.93,0.53202775,0.09,3,0.368584071,0.06,3,400-800,100-200,NA,11,NA,26.8,1.89,NA,14.2,33.33333333,18.02,1.849376114
